118;São Domingos Airport;TO;Alvorada
119;Formoso do Araguaia Airport;TO;Formoso do Araguaia
120;Formoso do Araguaia North Airport;TO;Formoso do Araguaia
121;Aliança do Tocantins Airport;TO;Aliança do Tocantins
122;Fátima Airport;TO;Fátima
123;Crixás Airport;GO;Crixás
124;Fazenda Rio Crixás Airport;GO;Fazenda Rio Crixás
125;Autazes Airport;AM;Autazes
126;Marreca Airport;MT;Marreca
127;Paranorte Airport;MT;Paranorte
128;Fontanillas Airport;MT;Fotanillas
129;Teles Pires Lodge Airport;MT;Apiacás
130;Genil Motta Airport;MT;Itiquira
131;Rio Verde de Mato Grosso Airport;MS;Rio Verde de Mato Grosso
132;Piraí do Sul Airport;PR;Piraí do Sul
133;Chapada Gaúcha Airport;MG;Chapada Gaúcha
134;Serra das Araras Airfield;MG;Serra das Araras
135;Pandeiros Airfield;MG;Pandeiros
136;São Francisco Airport;MG;São Francisco
137;Ermidinha Airport;MG;Ermidinha
138;Capitão Enéas Airfield;MG;Capitão Enéas
139;Coração de Jesus Airport;MG;Coração de Jesus
140;Fazenda Gleba da Barra Airport;MG;Brasilândia de Minas
141;Fazenda Boa Sorte Airport;TO;Aliança do Tocantins
142;Fazenda Rosa dos Ventos Airport;GO;Itumbiara
143;Fazenda Nictheroy Airport;AC;Rio Branco
144;Francisco Ramalho Airport;MA;Pedreiras
145;Caxias Airport;MA;Caxias
146;Fazenda Santarém Airport;MS;Bandeirantes
147;Fazenda Roseira Airport;MA;São Raimundo das Mangabeiras
148;Aero Agricola Rio Claro Airport;MT;São José do Rio Claro
149;Altamira Airport;PA;Cachoeira Da Serra
150;Sérgio Bonifácio Airport;PR;Ivaiporã
151;Tamarana Metais Airport;PR;Tamarana
152;Cachoeira Porteira Airport;PA;Cachoeira Porteira
153;Fazenda Chapadão Alegre Airport;BA;Correntina
154;Fazenda Água Boa Airport;MT;Juara
155;Fazenda Estivado Airport;MT;Diamantino
156;Alto Horizonte Airport;GO;Alto Horizonte
157;Mateiros Airport;TO;Mateiros
158;Montezuma Airport;MG;Montezuma
159;Valença do Piauí Airport;PI;Valença do Piauí
160;Independência Airport;CE;Independência
161;Pau dos Ferros Airport;RN;Pau dos Ferros
162;Luís Antônio Fontenele - Cocal da Estação Airport;PI;Cocal
163;Fazenda Providência Airport;MT;Rodolândia
164;Fazenda Pertinho do Céu Airport;MT;Guiratinga
165;Fazenda Fusão Airport;AM;Lábrea
166;Fazenda Varnier Airport;MT;Brasnorte
167;Japurá Airport;AM;Japurá
168;Governador José B. Lindoso Airport;AM;Ipixuna
169;Pedro Vieira Moreira Airport;PB;Cajazeiras
170;Matheus Lopes Maia da Silva Airport;AM;Itamarati
171;Savana Airport;RO;Jaru
172;Irmãos Gonçalves Airport;RO;Jaru
173;New Arraias Airport;TO;Arraias
174;Fazenda São José Airport;MT;Poxoréo
175;Quatros Bocas Airport;PA;Quatros Bocas
176;Fazenda XV de Outubro;ES;Colatina
177;Fazenda Ressaca Airport;MT;Cáceres
178;Fazenda Nossa Senhora Aparecida Airport;MT;Nova Ubiratã
179;Fazenda do Leão;GO;Corumbá de Goiás
180;Itapirapuã Airport;GO;Itapirapuã
181;Fazenda Uvá Airport;GO;Uvá
182;Jucara Airport;GO;Jussara
183;Bandeirantes Airport;GO;São José dos Bandeirantes
184;Rio Araguaia Southwest Airport;TO;
185;Rio Araguaia Northeast airport;MT;
186;Gaelo Airport;RS;Charqueadas
187;Novo Santo Antônio Airport;MT;Novo Santo Antônio
188;Fazenda Pirangi Airport;MS;Nova Andradina
189;Base Aeroverde Airport;GO;Rio Verde
190;Fazenda Colorado;PI;Bom Jesus
192;Fazenda Ranchinho do Guaporé Airport;MT;Pontes e Lacerda
193;Itaquí Southeast Airport;RS;Itaquí
194;Doze de Outubro Airport;AM;Maués
195;Celeiro 2 Airport;PI;Gilbués
196;Ninho do Bacurau;BA;Bom Jesus da Lapa
197;Guatambu São Paulo Airport;SP;São Paulo
198;Fazenda Retiro do Bom Fim Airport;MG;Ipiaçu
199;Fazenda Sagarana Airport;BA;Correntina
200;Fazenda Brusque Airport;PA;São Félix do Xingu
201;Fazenda Carrapato Airport;CE;Itapipoca
202;Fazenda Rancho Alegre I Airport;MT;Vila Bela da Santíssima Trindade
203;Fazenda Vô Zeca Airport;MT;Santa Terezinha
204;Fazenda Santa Terezinha I;MT;Santa Terezinha
205;Fazenda Chapada Grande Airport;PI;Regeneração
206;Fazenda Americana Airport;MA;Barra do Corda
207;Fazenda Bela Vista Airport;MS;Novo Horizonte do Sul
208;Fazenda Dois Irmãos Airport;MS;Naviraí
209;Fazenda Guadiana Airport;SP;Martinópolis
210;Fazenda Valença Airport;MS;Rio Negro
211;Fazenda Santana Airport;BA;Riachão das Neves
212;Adecoagro Airport;MS;Angélica
213;Usina Santa Luzia Airport;MS;Nova Alvorada do Sul
214;Fazenda São José Airport;MS;Porto Murtinho
215;Fazenda Mucambo Airport;MG;Baldim
216;Fazenda Gaivota Airport;MT;Paranatinga
217;A2 Aviação Agrícola Ltda Airport;MT;Alta Floresta
218;Jeová Gomes Airport;CE;Limoeiro do Norte
219;Fazenda Ouro Branco Airport;MT;Porto dos Gaúchos
220;MGX Florestal Airport;MG;Ninheira
221;Fazenda Diamante Airport;PI;Baixa Grande do Ribeiro
222;Fazenda Locks Airport;MT;Nova Maringá
223;Clube CÉU Airport;RJ;Rio de Janeiro
224;Fazenda Poças Airport;MT;Santo Antônio do Leverger
225;Pista Fogoió;PA;Itaituba
226;Simão Sarkis Simão Airport;MG;Três Marias
227;Tenoar Airport;MS;Chapadão do Sul
228;Centro Brasileiro de Aviação Agrícola Experimental e Recreativo (CBAAER) Airport;DF;Brasília
229;Condomínio Fly Vila Resort Airport;MG;Guapé
230;JN Resort Airport;MG;Sete Lagoas
231;Fazenda São José Airport;RS;São Gabriel
232;Geraldo Alvino Covre Airport;ES;Pinheiros
233;J Lem Airport;BA;Luís Eduardo Magalhães
234;Fazenda Serra Azul Airport;MT;Rosário Oeste
235;Fazenda Barra Grande Airport;MT;Confresa
236;Fazenda Pato Branco Airport;MS;São Gabriel do Oeste
237;Muraro Airport;SP;Itupeva
238;Fazenda Tropical Airport;MS;Brasilândia
239;Fazenda DIMEP Airport;SP;Itatinga
240;Fazenda Furnas Airport;MT;Chapada dos Guimarães
241;Aerorancho Airport;DF;Brasília
242;Fazenda Guanabara Airport;MS;Rio Negro
243;Fazenda Três Lagoas Airport;MG;Itapecerica
244;Fazenda Vale Verde Airport;RO;Vista Alegre do Abunã
245;Fazenda Lagoa Clara Airport;BA;São Desidério
246;Fazenda São Miguel Airport;MT;Campo Verde
247;Comandante Jorge Mello Airport;BA;Bom Jesus da Lapa
248;Fazenda Colorado Airport;GO;Aruanã
249;Santa Maria Airport;MT;Barão de Melgaço
250;Fazenda Nova Fartura Airport;MT;Planalto da Serra
251;Antônio Covre Airport;BA;Itabela
252;Fazenda Nossa Senhora Medianeira Airport;MS;Naviraí
253;Vila Nova Airport;SC;Joinville
254;Cabanha Umbú Airport;RS;Barra do Quaraí
255;Estancia Irmãos Martins Airport;SP;Tupã
256;Vale da Providência Airport;MT;Rodolândia
257;Usina Vale do Tijuco Airport;MG;Uberaba
258;Fazenda Uval Airport;MS;Corumbá
259;Fazenda Palmeira Airport;MT;Alto Taquari
260;Fazenda Aerovilas Airport;MG;Divinópolis
261;Fazenda São João Airport;MT;Pontes e Lacerda
262;Fazenda Centrino Airport;RO;Cabixi
263;Fazenda Cedro Airport;MS;Campo Grande
264;Condomínio Aeronáutico Aeroagro Airport;MT;Sorriso
265;Fazenda Liberdade Airport;MT;Querência
266;Stratus Ale Airport;RN;Natal
267;Fazenda Arizona;BA;Formosa do Rio Preto
268;Fazenda Brusque Airport;MT;Fazenda Brusque
269;Belo Horizonte Airport;BA;Araçás
270;Helvétia MF;SP;Indaiatuba
271;Fazenda Progresso Airport;PA;Paragominas
272;Ilha das Flores Airport;RO;Alta Floresta d'Oeste
273;Fazenda Ventania Airport;MT;Campos de Júlio
274;Fazenda Ponte Serrada Airport;MT;Campo Novo do Parecis
275;Fazenda Monte Dourado Airport;PA;São Félix do Xingu
276;Fazenda Cresciumal Airport;SP;Leme
277;Fazenda Turazzi Airport;MT;Pontes e Lacerda
278;Fazenda Candelária Airport;MT;Vila Bela da Santíssima Trindade
279;Fazenda Floresta Airport;GO;Santo Antônio da Barra
280;Fazenda Santa Clara Airport;MT;Castanheira
281;Fazenda Santo Antônio Airport;BA;Barreiras
282;Fazenda Palmares 2 Airport;BA;Barreiras
283;Fazenda Andorinha Airport;GO;Estrela do Norte
284;Fazenda Retiro Velho Airport;MS;Porto Murtinho
285;Sítio Ouro Preto Airport;RJ;Vassouras
286;Fazenda Vó Zita do Rio Vermelho Airport;MS;Corumbá
287;Ipiranga Airport;MT;Alto Taquari
288;Fazenda Alice Airport;MA;Sambaíba
289;Executivo Airport;PR;Cascavel
290;Fazenda Tamanduá Airport;MT;Brasnorte
291;Fazenda Triunfo Airport;MT;Vila Bela da Santíssima Trindade
292;Fazenda Miragem Airport;MT;Sapezal
293;Fazenda Fortaleza Airport;PI;Santa Filomena
294;Vale do Curuá Airport;PA;Novo Progresso
295;Santa Rosa Airport;RR;Pacaraima
296;Itaboraí Airport;RJ;Itaboraí
297;Fazenda Sucuri Airport;RO;Machadinho d'Oeste
298;Fazenda São Pedro Airport;MS;Nova Andradina
299;Clube Voart Airport;TO;Araguaína
300;Fazenda Cabeceira Verde Airport;TO;Campos Lindos
301;Vitalli Airport;SP;Avanhandava
302;Vitalli Airport;RN;Parelhas
303;Palmeiras Airport;MS;Corumbá
304;SAPAN Airport;RR;Pacaraima
305;Fazenda Santa Maria Airport;BA;São Desidério
306;Fazenda São Sebastião Airport;MT;Campo Novo do Parecis
307;Clube de Voo Fazenda Novo Horizonte Airport;SP;Itu
308;Fazenda São Judas Tadeu Airport;MT;Comodoro
309;Fazenda Porto Ciriaco Airport;MS;Aquidauana
310;Fazenda Vista Alegre Airport;MS;Novo Horizonte do Sul
311;Jonis Pereco Airport;MG;Buritizeiro
312;Fazenda Lagoa Vermelha Airport;MT;Guiratinga
313;Serra Branca Agrícola Airport;PI;Uruçuí
314;São José Airport;MT;Campo Verde
315;Fazenda Porteirinhas Airport;MG;Curvelo
316;Fazenda Tapiraguaia Airport;MT;Santa Terezinha
317;Fazenda São Geraldo Airport;TO;Caseara
318;Fazenda Centro Oeste Airport;MT;Nova Maringá
319;Fazenda Santa Terezinha Airport;MT;Santa Rita do Trivelato
320;Ecides Fires Airport;BA;São Sebastião do Passé
321;Fazenda Nova Fronteira Airport;PI;Barreiras do Piauí
322;São Pedro Airport;BA;Porto Seguro
323;Glauber de Andrade Rocha Airport;BA;Vitória da Conquista
324;Fazenda São João Airport;MS;Alcinópolis
325;Fazenda Savannah Airport;BA;Cocos
326;Fazenda Sucuri Airport;MS;Rio Brilhante
327;Valeu Boi Leilões Airport;PA;Rio Maria
328;COOPA-DF Airport;DF;Brasília
329;Estância Santa Maria Airport;PA;Jacareacanga
330;Fazenda Guará Airport;BA;Jaborandi
331;Luiz Aragão Airport;CE;Tianguá
332;Fazenda Reunidas Sococo Airport;PA;Santa Isabel do Pará
333;Fazenda Ouro Verde Airport;MG;Unaí
334;Fazenda Centúria Vitória Airport;BA;Formosa do Rio Preto
335;Fazenda Romário Airport;SP;Barbosa
336;Fazenda Relu Airport;MT;Gaúcha do Norte
337;Maria Magalhães Airport;SC;Porto União
338;Sitio Cajuapara Airport;MA;Itinga do Maranhão
339;Fazenda São Diego Airport;BA;Formosa do Rio Preto
340;Fazenda Vô Chico Airport;SP;Jales
341;Franciscus Airport;TO;Divinópolis do Tocantins
342;Jorge de Barros Carvalho Airport;SP;Salto Grande
343;Toca Airport;GO;Santo Antônio de Goiás
344;Fazenda Cachoeira Alta Airport;MT;Paranatinga
345;Fazenda Vale Airport;MT;Tapurah
346;Alegria Alcolumbre Airport;AP;Macapá
347;Fazenda Requinte Airport;BA;São Desidério
348;Sementes Guerra Airport;PR;Renascença
349;Grupo IOWA Airport;BA;São Desidério
350;Fazenda Cerradão Airport;GO;Aparecida do Rio Doce
351;Fazenda Guanabara Airport;MS;Corumbá
352;Fazenda Eldorado da Formosa Airport;MS;Corumbá
353;Fazenda Montani Airport;PI;Baixa Grande do Ribeiro
354;Fazenda Canoa Quebrada Airport;MA;Grajaú
355;Fazenda Vale dos Sonhos Airport;GO;Palestina de Goiás
356;Fazenda Sossego Airport;SP;Rosana
357;Fazenda Paraíso Airport;RR;Boa Vista
358;Fazenda Pensamento Airport;MS;Corumbá
359;Fazenda Bela Vista Airport;GO;Indiara
360;Fazenda Centúria Austrália Airport;BA;Formosa do Rio Preto
361;Fazenda Califórnia Airport;PA;São Félix do Xingu
362;Fazenda Copacabana Airport;GO;Campo Alegre de Goiás
363;Fazenda Canaã Airport;MT;Canarana
364;Projeto Brasil I Airport;BA;Santa Rita de Cássia
365;Fazenda Campo Alegre Airport;PI;Palmeira do Piauí
366;Pontal Airport;SP;Pontal
367;Fazenda Curuá Airport;PA;Altamira
368;Condomínio Aeronáutico Santos Dumont Airport;SP;Elias Fausto
369;Fecularia Lopes Airport;PR;Itaúna do Sul
370;Fazenda Barro Preto Airport;MS;Corumbá
371;Fazenda do Coronel Airport;BA;Coração de Maria
372;Aeroagrícola Solo Airport;SP;Paranapanema
373;Fazenda Baia Grande Airport;MS;Rio Verde de Mato Grosso
374;Condomínio Aéreo Santos Dumont Airport;RO;Ji-Paraná
375;Destilaria Tabu Airport;PB;Caaporã
376;Associação Tocantinense de Aviação Airport;TO;Porto Nacional
377;Clube de Aviação Experimental do Paraná Airport;PR;Ibiporã
378;Boa Esperança Airport;MA;Santa Luzia
379;Fazenda São Félix Airport;RO;Machadinho d'Oeste
380;Fazenda Toca da Onça Airport;GO;Jussara
381;Fly Club Airport;BA;Porto Seguro
382;Fazenda Estrela Airport;MS;Antônio João
383;Fazenda Santa Maria Airport;BA;Formosa do Rio Preto
384;Fazenda Prata Airport;PA;Rurópolis
385;Fazenda Terra Way - VII Airport;MT;Tabaporã
386;Fazenda Fortaleza Airport;AM;Novo Aripuanã
387;Fazenda Campo Grande Airport;BA;Baianópolis
388;Fazenda São Gabriel Airport;MT;Brasnorte
389;Fazenda Cangaia Airport;PA;Tailândia
390;Fazenda Galiléia Airport;TO;Almas
391;Fazenda Mundo Novo Airport;TO;Dueré
392;Fazenda Santa Rita Airport;TO;Figueirópolis
393;Agropecuária Zé Reis Airport;TO;Palmeirópolis
394;Fazenda Nova Esperança Airport.;TO;Recursolândia
395;Eloy Biesuz Airport;PR;Itapejara d'Oeste
396;Fazenda Limeira Airport;GO;São João Da Paraúna,
397;Jardim de Angicos Airport;RN;Jardim de Angicos
398;Fazenda Agrorosso Airport;GO;Miguel do Passa Quatro
399;Fazenda Pau D'Alho Airport;MT;Nova Bandeirantes
400;Pachu Aviação Agrícola Airport;SP;Olímpia
401;Fazenda Cascata Airport;MT;Ipiranga do Norte
402;Fazenda Estrela Airport;RR;Alto Alegre
403;Fazenda Meio Século Airport;MS;Itaquiraí
404;Brigadeiro Fábio Pereira da Silveira Airport;MG;Tupaciguara
405;Fazenda Pampili Airport;MS;Três Lagoas
406;Fazenda San Cyro Airport;RS;Sertão
407;Fazenda Pindorama Airport;MT;Campo Novo do Parecis
408;Granja 4 Irmãos - Taim Airport;RS;Rio Grande
409;Fazenda Garimpinho Airport;MS;Figueirão
410;Palmares Airport;MG;Delfinópolis
411;Fazenda Nobel Pará Airport;PA;Santana do Araguaia
412;Fazenda Esparrame Airport;MS;Figueirão
413;Fazenda Padre Cícero Airport;PA;Marabá
414;Fazenda São Judas Tadeu Airport;MS;Santa Rita do Pardo
415;Estância Mil Airport;MS;Miranda
416;Condomínio Liberty Airport;GO;Montividiu
417;Fazenda Nossa Senhora de Fátima Airport;MS;Jaraguari
418;Fazenda Tapyratynga Airport;RO;Pimenteiras do Oeste
419;André Textor Airport;GO;Montividiu
420;Centroar Airport;GO;lores de Goiás
421;Fazenda Taquarussu Airport;MS;Caarapó
422;Fazenda Santo Antônio Airport;MA;Buriticupu
423;Nova Vida Airport;PA;Santana do Araguaia
424;Fazenda Novo Progresso Airport;PA;Altamira
425;Fazenda Porta do Céu Airport;BA;Jaborandi
426;Fazenda Santa Helena Airport;RS;Rio Pardo
427;Fazenda Matrinchã Airport;MT;Brasnorte
428;Castelli Fazenda Sobradinho Airport;BA;Correntina
429;Fazenda Canaã Airport;BA;Formosa do Rio Preto
430;Fazenda Estrela Airport;PI;Baixa Grande do Ribeiro
431;Fazenda Maringá Airport;PI;Baixa Grande do Ribeiro
432;Condomínio Milla Airport;PI;Baixa Grande do Ribeiro
433;Fazenda São Carlos Airport;MS;Paraíso das Águas
434;Fazenda WSA Airport;MT;General Carneiro
435;Fazenda Montani Bahia Airport;BA;São Desidério
436;San Martin Airport;RJ;Campos dos Goytacazes
437;Fazenda Tunica Airport;MT;Água Boa
438;Fazenda Carmen Airport;MS;Corumbá
439;Fazenda Nova Piúva;MS;Aquidauan
440;FSA Airport;MT;Nova Maringá
441;Fazenda São Luís;RO;Pimenteiras do Oeste
442;Fazenda Itiquira Airport;MT;Itiquira
443;Fazenda Jacuba Airport;GO;Mineiros
444;Fazenda Querência Airport;MS;Rio Verde de Mato Grosso
445;Fazenda São Luiz Airport;BA;Luís Eduardo Magalhães
446;Aníbal Airport;CE;Russas
447;Fazenda Santa Luzia Airport;GO;Aruanã
448;Fazenda Cachoeirinha Airport;GO;Caiapôni
449;Sitio Aeroportuário Esteirinha Airport;PR;Goioerê
450;Fazenda Arancuã Airport;MS;Miranda
451;Fazenda Pirizal Airport;MT;Vila Bela da Santíssima Trindade
452;Fazenda Água Azul Airport;MT;Campo Verde
453;Fazenda Pampa Alegre Airport;MT;Itiquira
454;Fazenda Catuaí;MT;Juara
455;Fazenda Gaúcha do Norte Airport;MT;Gaúcha do Norte
456;Fazenda São Jorge Airport;MG;Lambari D'oeste
457;Santo Antônio das Furnas Airport;MT;Santo Antônio do Leverger
458;Aerobako Airport;MT;Sinop
459;Lagoa Grande Airport;BA;Iramaia
460;Derso Portilho Vieira Airport;MT;São Félix do Araguaia
461;NX GOLD Airport;MT;Nova Xavantina
462;Fazenda Cachoeira do Bambuzal Airport;GO;Itaguari
463;Marina do Caraipé Airport;PA;Tucuruí
464;Usina César Filho Airport;RO;Chupinguaia
465;Fazenda Bandeirantes Airport;MT;Nova Marilândia
466;Fazenda Mourão Airport;MT;Colniza
467;Fly Lagos Airport;RJ;Cabo Frio
468;Presidente Roosevelt Airport;AM;Novo Aripuanã
469;Fazenda Barcelona V Airport;BA;Formosa do Rio Preto
470;Fazenda Toca da Onça Airport;MT;União do Sul
471;Serra da Pintura Airport;GO;Santa Fé de Goiás
472;Fly Park Florianópolis;SC;Florianópolis
473;Montes Claros de Goiás Airport;GO;Montes Claros de Goiás
474;Fazenda Santo Angelo Airport;BA;Barra do Choça
475;Salles Airport;PA;Castanhal
476;Fazenda  Caacupê Airport;MS;Nioaque
477;Fazenda Alvorada Airport;TO;Araguaína
478;Joca Viol Airport;SP;Birigui
